Maize_Sample	345dcc18d51f44572bd67c08e5e95b8b	074e66f75650948b8df12cfe2ffb5f37	060fdbbfa61cbfb4d47350dc2a2019cd	d2208d27b5df4c53eb547f7ac45f4d6b	574d164310944193d8fc13dc10346e58	8cb92babedb9f4ff7bedee4ac4f47370	3e00a33b844a56c2e00acedeffc43b5e	0f5f7693288de84f4ade2e6abaa2440f	561ed5d9dab98c645f731a40b7b63fa4	a6d4742d8c802171498b62b6d79b1764	Location	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex	Sampling_Number	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Sampling_NumberGDD	Plate	Row	Column	Well	Concentration
GA1814I600	1	1	1	0	0	1	1	1	0	1	Dawson	2018-05-02	Inrow_Soil	8.0			True	False	False	GA1814I600_S189_L001_R1_001.fastq.gz	GA1814I600_S189_L001_R2_001.fastq.gz	184013	600.0	31.66634	-84.52099		124.2	Sample	0.003861017	0.26288140000000004	80.80271	59.061690000000006	57.94831	0.7277965999999999	4.6067800000000005	8.067797	14.0	233.5	4.695	5.295	42.8	3.9	233.5	0.02	0.07	1.205	25.31	87.15	32.75	20.65	0.02	9.845	0.85	90.04	0.86	7.605	0.94	0.01	14600.0	2	H	9	H9	124.2
GA1833S1400	0	0	1	0	0	0	0	1	0	1	Rome	2018-06-20	Soil	92.0			True	False	False	GA18-33S-1400_S149_L001_R1_001.fastq.gz	GA18-33S-1400_S149_L001_R2_001.fastq.gz	19880	1400.0	34.33838	-85.12748		198.0	Sample	0.002581013	0.2781013	79.48671	58.986959999999996	56.99646	0.7126581999999999	2.479241	8.35443	33.0	338.0	5.36	5.96	78.8	9.63	1062.0	0.025	0.025	0.12	6.66	241.5	196.2	30.01	0.025	7.14	1.53	41.57	0.01	1.44	2.99	0.11	331400.0	5	E	6	E6	198.0
GA1823SLM1400	0	0	1	0	0	0	0	1	0	1	Watkinsville	2018-06-28	Soil			Living_mulch_experiment_not_part_of_GA_microbiomes	True	True	False	GA18-23S-LM1400_S126_L001_R1_001.fastq.gz	GA18-23S-LM1400_S126_L001_R2_001.fastq.gz	45907	1400.0	33.86828	-83.44998000000001	NoCover	113.0	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	23.0																						231400.0	5	C	7	C7	113.0
GA1817S1400	0	0	1	0	0	1	0	1	1	1	Plains_SWVT	2018-06-07	Soil	86.0			True	False	False	GA1817S1400_S126_L001_R1_001.fastq.gz	GA1817S1400_S126_L001_R2_001.fastq.gz	52006	1400.0	32.03617	-84.37588000000001		68.266667	Sample	0.004391803	0.3129508	80.58918	59.78705	57.9841	0.7195081999999999	4.946393	8.229508000000001	17.0	288.0	4.86	5.46	54.9	5.7	412.0	0.02	0.02	0.32	10.82	100.1	94.3	23.15	0.02	5.84	0.98	27.6	0.57	2.89	2.62	0.07	171400.0	2	C	6	C6	68.2666666667
GA1813S1400	0	0	1	0	0	0	0	1	0	1	Tennile	2018-06-07	Soil	87.0			True	False	False	GA18-13S-1400_S103_L001_R1_001.fastq.gz	GA18-13S-1400_S103_L001_R2_001.fastq.gz	32457	1400.0	32.89258	-82.76496		130.666667	Sample	0.003480328	0.3142623	80.08606999999999	58.223769999999995	58.49869	0.7581967	3.129836	7.803278999999999	13.0	218.0	6.0	6.6	90.6	5.23	717.0	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	131400.0	5	A	7	A7	130.6666666667
GA1832S600	0	0	1	0	0	0	1	1	0	1	Rome	2018-05-02	Soil	37.0		SWVT_Dryland	True	False	False	GA1832S600_S171_L001_R1_001.fastq.gz	GA1832S600_S171_L001_R2_001.fastq.gz	82744	600.0	34.33791	-85.13029		78.06666700000001	Sample	0.002581013	0.2781013	79.48671	58.986959999999996	56.99646	0.7126581999999999	2.479241	8.35443	32.0	453.0	4.98	5.58	58.9	9.07	586.0	0.05	0.025	0.42	14.41	282.8	196.8	106.5	0.025	10.53	2.24	77.04	0.36	1.14	2.3	0.06	32600.0	2	G	3	G3	78.0666666667
GA1824I1400	1	0	1	0	0	0	1	1	0	1	Watkinsville	2018-06-21	Inrow_Soil	112.0		Living_mulch_experiment_and_GA_Microbiome	True	True	False	GA1824I1400_S105_L001_R1_001.fastq.gz	GA1824I1400_S105_L001_R2_001.fastq.gz	175237	1400.0	33.868120000000005	-83.44997	LivingMulch	57.2	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	24.0	272.0	5.44	6.04	80.4	7.72	1033.0	0.025	0.025	1.54	7.9	98.1	89.3	29.02	0.025	8.92	0.41	35.41	0.06	10.39	3.32	0.1	241400.0	2	A	9	A9	57.2
GA1813S600	0	0	1	0	0	0	0	1	0	1	Tennile	2018-05-07	Soil	21.0			True	False	False	GA18-13S-600_S138_L001_R1_001.fastq.gz	GA18-13S-600_S138_L001_R2_001.fastq.gz	33230	600.0	32.892559999999996	-82.76508000000001		130.0	Sample	0.003480328	0.3142623	80.08606999999999	58.223769999999995	58.49869	0.7581967	3.129836	7.803278999999999	13.0	433.0	6.56	7.16	100.0	6.42	1065.5	0.02	0.045	0.935	8.795	135.9	90.8	14.3	0.02	11.21	1.39	51.36	1.015	3.23	1.39	0.04	13600.0	5	D	7	D7	130.0
GA1826S600	1	0	1	0	0	0	0	1	0	1	Watkinsville	2018-05-21	Soil	33.0		Living_mulch_experiment_and_GA_Microbiome	True	True	False	GA1826S600_S173_L001_R1_001.fastq.gz	GA1826S600_S173_L001_R2_001.fastq.gz	127565	600.0	33.86829	-83.44996	NoCover	140.666667	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	26.0	571.0	5.33	5.93	53.9	7.68	683.0	0.025	0.025	0.72	8.31	65.1	61.9	41.9	0.025	8.91	1.09	10.86	0.29	2.34	2.79	0.09	26600.0	2	G	5	G5	140.6666666667
GA1837S600	0	0	1	0	0	0	0	1	0	1	Blairsville	2018-06-01	Soil	68.0			True	False	False	GA18-37S-600_S128_L001_R1_001.fastq.gz	GA18-37S-600_S128_L001_R2_001.fastq.gz	28381	600.0	34.84497	-83.9168		226.666667	Sample	0.006410294	0.4620588	81.29485	62.65044	62.91161999999999	0.7870588000000001	2.561029	8.764706	37.0	408.0	5.74	6.34	80.4	7.96	877.0	0.025	0.025	0.45	13.86	134.8	194.2	16.39	0.025	11.27	3.38	32.1	0.34	1.63	4.72	0.14	37600.0	5	C	9	C9	226.6666666667
GA186S600	1	0	1	0	0	0	0	1	0	1	Tifton-Irrigated	2018-05-07	Soil	14.0			True	False	False	GA18-6S-600_S106_L001_R1_001.fastq.gz	GA18-6S-600_S106_L001_R2_001.fastq.gz	36792	600.0	31.48767	-83.52064		84.43333299999999	Sample	0.003	0.2611475	81.60738	61.94607	61.25656	0.7552459	4.001311	8.327869	6.0	186.0	4.88	5.48	57.9	3.57	308.0	0.05	0.07	0.35	44.92	97.1	29.8	6.1	0.02	6.3	0.83	46.09	1.1	4.4	1.0	0.08	6600.0	5	A	10	A10	84.4333333333
GA182S1400	1	0	1	0	0	0	1	1	0	1	Hawkinsville	2018-05-31	Soil	51.0			True	False	False	GA182S1400_S102_L001_R1_001.fastq.gz	GA182S1400_S102_L001_R2_001.fastq.gz	132198	1400.0	32.18356	-83.57857		116.2	Sample	0.003737288	0.28440679999999996	79.50050999999999	59.96136	56.173730000000006	0.6822034	5.405593	7.8474580000000005	2.0	217.0	6.77	7.37	100.0	8.19	1095.0	0.02	0.1	1.84	23.57	96.8	290.9	17.57	0.02	10.19	1.45	152.4	0.42	10.68	1.39	0.03	21400.0	2	A	6	A6	116.2
GA1835I1400	0	0	1	0	1	0	1	1	1	1	Pavo	2018-05-31	Inrow_Soil	65.0			True	False	False	GA1835I1400_S143_L001_R1_001.fastq.gz	GA1835I1400_S143_L001_R2_001.fastq.gz	87503	1400.0	30.983009999999997	-83.65904		89.7	Sample	0.004208475	0.2908475	81.38237	60.77203000000001	58.81763	0.7152542	3.931525	8.423729	35.0	358.0	6.59	7.19	100.0	7.92	1104.0	0.025	0.06	1.74	20.13	221.0	202.4	17.51	0.025	33.23	0.57	72.2	0.2	6.59	2.64	0.1	351400.0	2	D	11	D11	89.7
GA1828SLM1400	1	0	1	0	0	0	1	1	0	1	Watkinsville	2018-06-28	Soil			Living_mulch_experiment_not_part_of_GA_microbiomes	True	True	False	GA1828SLM1400_S139_L001_R1_001.fastq.gz	GA1828SLM1400_S139_L001_R2_001.fastq.gz	99868	1400.0	33.86801	-83.45012	CerealRye	116.66666699999999	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	28.0	279.0	6.32	6.92	98.7	10.22	1716.0	0.025	0.025	0.83	4.65	73.4	153.4	33.85	0.025	9.91	0.2	22.78	0.03	6.01	3.83	0.12	281400.0	2	D	7	D7	116.6666666667
GA182I1400	1	0	1	0	0	0	1	1	0	1	Hawkinsville	2018-05-31	Inrow_Soil	59.0			True	False	False	GA182I1400_S119_L001_R1_001.fastq.gz	GA182I1400_S119_L001_R2_001.fastq.gz	89812	1400.0	32.18356	-83.57857		130.666667	Sample	0.003737288	0.28440679999999996	79.50050999999999	59.96136	56.173730000000006	0.6822034	5.405593	7.8474580000000005	2.0	217.0	6.77	7.37	100.0	8.19	1095.0	0.02	0.1	1.84	23.57	96.8	290.9	17.57	0.02	10.19	1.45	152.4	0.42	10.68	1.39	0.03	21400.0	2	B	11	B11	130.6666666667
GA187repBI600	0	0	1	0	0	0	0	0	0	1	Tifton-Dryland	2018-05-07	Inrow_Soil	23.0		A_second_rep_of_the_inrow_soil_at_this_location_was_taken	True	False	False	GA187repBI600_S107_L001_R1_001.fastq.gz	GA187repBI600_S107_L001_R2_001.fastq.gz	182900	600.0	31.52228	-83.55044000000001		59.36701	Sample	0.002557377	0.23868850000000003	81.72738000000001	62.062459999999994	61.283280000000005	0.7526229999999999	3.991967	8.327869	7.0	166.0	4.56	5.16	38.8	2.53	154.0	0.02	0.02	0.3	17.17	30.1	14.0	5.2	0.02	4.64	1.28	14.77	0.63	1.97	0.75	0.06	7600.0	2	A	11	A11	59.36701
GA188S600	1	0	1	0	0	1	1	1	0	1	Wadley	2018-05-07	Soil	16.0			True	False	False	GA188S600_S151_L001_R1_001.fastq.gz	GA188S600_S151_L001_R2_001.fastq.gz	110496	600.0	32.96009	-82.41694		56.933333	Sample	0.003618033	0.3568852	80.9523	58.69607	58.73262	0.7440984	3.482787	7.967213	8.0	245.0	6.16	6.76	94.7	6.39	770.0	0.0275	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	8600.0	2	E	7	E7	56.9333333333
GA1834I1400	0	0	1	0	0	0	0	1	1	1	Cave_Spring	2018-06-20	Inrow_Soil	111.0			True	False	False	GA1834I1400_S106_L001_R1_001.fastq.gz	GA1834I1400_S106_L001_R2_001.fastq.gz	124115	1400.0	34.14887	-85.29406999999999		43.424233	Sample	0.00223038	0.25822779999999995	79.63228000000001	58.09936999999999	57.3819	0.7322784999999999	2.277848	8.21519	34.0	510.0	5.65	6.25	87.1	17.17	2374.0	0.025	0.025	1.07	6.3	448.2	227.1	75.92	0.025	8.03	0.33	95.65	0.13	8.61	4.7	0.17	341400.0	2	A	10	A10	43.4242333333
GA1833S600	0	0	1	0	0	0	1	1	0	1	Rome	2018-05-02	Soil	38.0		SWVT_Irrigated	True	False	False	GA1833S600_S138_L001_R1_001.fastq.gz	GA1833S600_S138_L001_R2_001.fastq.gz	94506	600.0	34.338359999999994	-85.12744		66.033333	Sample	0.002581013	0.2781013	79.48671	58.986959999999996	56.99646	0.7126581999999999	2.479241	8.35443	33.0	427.0	6.09	6.69	91.1	8.64	1105.0	0.025	0.025	0.115	5.59	249.0	201.2	36.1	0.025	8.72	0.79	38.01	0.09	1.34	3.04	0.1	33600.0	2	D	6	D6	66.03333333329999
GA1825SLM1400	1	0	1	0	0	0	1	1	0	1	Watkinsville	2018-06-28	Soil			Living_mulch_experiment_not_part_of_GA_microbiomes	True	True	False	GA1825SLM1400_S185_L001_R1_001.fastq.gz	GA1825SLM1400_S185_L001_R2_001.fastq.gz	499683	1400.0	33.86809	-83.45011	LivingMulch	98.4	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	25.0																						251400.0	2	H	5	H5	98.4
GA1836S1400	0	0	1	0	0	0	0	1	0	0	Athens	2018-06-19	Soil	90.0			True	False	False	GA18-36S-1400_S143_L001_R1_001.fastq.gz	GA18-36S-1400_S143_L001_R2_001.fastq.gz	38801	1400.0	33.71668	-83.30861999999999		197.666667	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	36.0	356.0	6.43	7.03	100.0	6.42	895.0	0.025	0.025	0.135	11.64	61.8	208.7	5.85	0.025	10.57	1.14	19.39	0.64	0.63	2.53	0.07	361400.0	5	D	12	D12	197.6666666667
GA183S600	0	0	1	0	0	0	0	1	0	1	Dawson	2018-05-02	Soil	5.0			True	False	False	GA18-3S-600_S178_L001_R1_001.fastq.gz	GA18-3S-600_S178_L001_R2_001.fastq.gz	26760	600.0	31.620620000000002	-84.52264		272.666667	Sample	0.003861017	0.26288140000000004	80.80271	59.061690000000006	57.94831	0.7277965999999999	4.6067800000000005	8.067797	3.0	179.5	5.14	5.74	69.95	3.95	468.0	0.02	0.05	1.65	30.8	58.35	25.8	15.75	0.02	13.865	0.565	91.35	0.32	4.04	0.73	0.015	3600.0	5	G	11	G11	272.6666666667
GA1824SLM1400	0	0	1	0	0	0	0	1	0	1	Watkinsville	2018-06-28	Soil			Living_mulch_experiment_not_part_of_GA_microbiomes	True	True	False	GA18-24S-LM1400_S142_L001_R1_001.fastq.gz	GA18-24S-LM1400_S142_L001_R2_001.fastq.gz	36377	1400.0	33.8681	-83.44997	LivingMulch	212.0	Sample	0.003720588	0.33	82.77	63.91176	63.34191	0.7672059	3.100882	8.455882	24.0	272.0	5.44	6.04	80.4	7.72	1033.0	0.025	0.025	1.54	7.9	98.1	89.3	29.02	0.025	8.92	0.41	35.41	0.06	10.39	3.32	0.1	241400.0	5	D	11	D11	212.0
